Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
865;5;130;CNHDVL51120;GRZEJNIK COSMO 20V 500x1120 (1000W);F1G2005011200010;PŁYTOWY HIGIENICZNY LEWY;B;1.000;;1141009;G;VNWA01;14043906;1;26000;SXE;SCE;03513;
866;5;130;*ZKKCZ1;NIVEN FKDF:USZCZELKA DRZWIOWA PRAWA (90);;;;1.000;;1161230;S;GEWA01;14125994;1;6000;STF;SCF;03679;
867;5;130;*ZKKCZ1;NIVEN FDSF:PROFIL PVC NA LISTWĘ;;MAGNETYCZNĄ;;1.000;;1161230;S;GEWA01;14125994;1;8000;STF;SCF;03679;
868;5;130;#VOCE;SUBWAY DESKA SEDESOWA SLIMSEAT;9M65S101;WOLNOOPADAJĄCA I Z ŁATWYM WYPINANIEM;;2.000;;1151117;S;VBME01;14153696;1;2000;SXC;SCC;03648;
869;5;130;UCP3RO102;ROZDZIELACZ 1" 2-OBW  Z NYPLAMI MOSIĄDZ;9994022;MP3;B;1.000;;1160505;I;UPSO01;14200659;1;2000;SXB;SCB;03737;
870;5;130;ADVANTIXVAR70;RYNNA ODPŁYWOWA PROSTA ADVANTIX H70;721671;VARIO 300-1200MM POD WYPEŁNIENIE;B;1.000;;1160805;S;VIWA01;14223236;1;1000;STF;SCF;03740;
871;5;130;UPCKT200AE;TRÓJNIK PVC KANALIZACYJNY 200x110/87°ZEW;21360;.;B;10.000;;1160920;Z;MALI01;14240224;1;4000;SH2;SHA;03630;
872;5;130;VISIGNSR2;RUSZT PROSTY VISIGN SR2 300-1200MM;686291;POŁYSK;B;1.000;;1170109;S;VIWA01;14275639;1;12000;STF;SCF;03648;
873;5;130;VISIGNSR2;RUSZT PROSTY VISIGN SR2 300-1200MM;686291;POŁYSK;B;1.000;;1170109;S;VIWA01;14275639;1;52000;STF;SCF;03648;
874;5;130;RAINZWSE12512;ZESTAW NATRYSKOWY RAINDANCE SELECT E 120;26720000;PORTER'S Z WĘŻEM 1.25M CHROM;B;1.000;;1170105;S;HATA01;14276474;1;13000;STF;SCF;03332;
875;5;130;RAINZNSE9012;ZESTAW NATRYSKOWY RAINDANCE SELECT E 120;26621000;3JET/UNICA'S PURO 0,9M CHROM;B;1.000;;1170105;S;HATA01;14276474;1;51000;STF;SCF;03332;
876;5;130;TCTT25;TRÓJNIK  25 TWORZYWO TECEFLEX;730925;;B;40.000;;1170116;I;TEST01;14279286;1;1000;STE;SCE;03675;
877;5;130;TCTT16;TRÓJNIK 16 TWORZYWO TECEFLEX;730916;.;B;60.000;;1170116;I;TEST01;14279286;1;2000;STE;SCE;03675;
878;5;130;TCTT201620;TRÓJNIK REDUKCYJNY 20x16x20 TWORZYWO;730509;TECEFLEX;B;40.000;;1170116;I;TEST01;14279286;1;4000;STE;SCE;03675;
879;5;130;TCMT1616;ZŁĄCZKA PROSTA 16 TWORZYWO TECEFLEX;736016;.;B;40.000;;1170116;I;TEST01;14279286;1;5000;STE;SCE;03675;
880;5;130;TCMRT2520;ZŁĄCZKA REDUKCYJNA  25x20 TWORZYWO;736505;TECEFLEX;B;20.000;;1170116;I;TEST01;14279286;1;6000;STE;SCE;03675;
881;5;130;VAIKKZPF;ZESTAW PODŁĄCZENIOWY DO SYSTEMU FASADOWE;0020042748;GO 80/125MM STAL/PP;B;1.000;;1150821;G;VAWA01;14129049;1;3000;STC;SCC;03748;
882;5;130;VAIKKRPF81;RURA DO SYSTEMU FASADOWEGO 80/125MM 0.5M;0020042755;STAL/PP SKRACALNA;B;1.000;;1150821;G;VAWA01;14129049;1;5000;STC;SCC;03748;
